UAI;Nom de l'établissement;Type;Commune;Site web;Statut détection;Indice trouvé;URL de détection
9740548C;Clg Edmond Albius;;;https://etab.ac-reunion.fr/clg-edmond-albius;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-edmond-albius/les-anciens-dalbius-episode-8-ludovic-hoarau-infirmier/
9740552G;LP Léon de Lepervenche;;;https://etab.ac-reunion.fr/lyc-lepervanche;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-lepervanche/pedagogie/les-formations/certificat-daptitude-professionnelle-c-a-p-2-ans/peinture-en-carrosserie/
9740572D;Clg Les Deux Canons;;;https://etab.ac-reunion.fr/clg-deux-canons;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-deux-canons/information-orientation-3eme/
9740574F;Clg Paul Hermann;;;https://etab.ac-reunion.fr/clg-paul-hermann;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/clg-paul-hermann/contact-et-plan-dacces/
9740575G;LP François de Mahy;;;https://etab.ac-reunion.fr/lyc-francois-de-mahy;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/lyc-francois-de-mahy/
9740576H;Clg Les Tamarins;;;https://etab.ac-reunion.fr/clg-tamarins;Non;;https://etab.ac-reunion.fr/clg-tamarins
9740577J;Clg Joseph Hubert;;;https://etab.ac-reunion.fr/clg-joseph-hubert;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-joseph-hubert/projet-dechange-europeen-avec-litalie/
9740578K;Clg Achille Grondin;;;https://etab.ac-reunion.fr/clg-achille-grondin;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-achille-grondin/
9740595D;Clg Jules Reydellet;;;https://etab.ac-reunion.fr/clg-jules-reydellet;Non;;https://etab.ac-reunion.fr/clg-jules-reydellet
9740596E;Clg Antoine Soubou;;;https://etab.ac-reunion.fr/clg-antoine-soubou;Non;;https://etab.ac-reunion.fr/clg-antoine-soubou
9740597F;Lyc Évariste de Parny;;;https://etab.ac-reunion.fr/lyc-evariste-de-parny;Non;;https://etab.ac-reunion.fr/lyc-evariste-de-parny
9740598G;Clg Mille Roches;;;https://etab.ac-reunion.fr/clg-mille-roches;Non;;https://etab.ac-reunion.fr/clg-mille-roches
9740599H;Clg Joseph Bédier;;;https://etab.ac-reunion.fr/clg-joseph-bedier;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/clg-joseph-bedier/
9740618D;Clg Les Alizés;;;https://etab.ac-reunion.fr/clg-boris-gamaleya-les-alizes;Non;;https://etab.ac-reunion.fr/clg-boris-gamaleya-les-alizes
9740620F;Clg Michel Debré;;;https://etab.ac-reunion.fr/clg-michel-debre;Non;;https://etab.ac-reunion.fr/clg-michel-debre
9740645H;Clg Robert J. Ardon – Montgaillard;;;https://etab.ac-reunion.fr/clg-robert-ardon;Non;;https://etab.ac-reunion.fr/clg-robert-ardon
9740651P;Clg Auguste Lacaussade;;;https://etab.ac-reunion.fr/clg-lacaussade;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/clg-lacaussade/
9740652R;Clg Trois Mares;;;https://etab.ac-reunion.fr/clg-trois-mares;Non;;https://etab.ac-reunion.fr/clg-trois-mares
9740654T;Clg Joseph Suacot;;;https://etab.ac-reunion.fr/clg-joseph-suacot;Oui;Mot-clé: radio collège;https://etab.ac-reunion.fr/clg-joseph-suacot/
9740702V;Clg Hubert Delisle;;;https://etab.ac-reunion.fr/clg-hubert-delisle;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-hubert-delisle/pix/
9740703W;Clg Collège Claude Mahoudeaux – Cambuston;;;https://etab.ac-reunion.fr/clg-cambuston;Non;;https://etab.ac-reunion.fr/clg-cambuston
9740734E;Clg Mahé de Labourdonnais;;;https://etab.ac-reunion.fr/clg-mahe-de-labourdonnais;Non;;https://etab.ac-reunion.fr/clg-mahe-de-labourdonnais
9740735F;Clg Jean d'Esme;;;https://etab.ac-reunion.fr/clg-jean-desme;Non;;https://etab.ac-reunion.fr/clg-jean-desme
9740737H;LP L'Horizon;;;https://etab.ac-reunion.fr/lyc-horizon;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-albert-ramassamy/bac-pro-fluide-energie/
9740738J;LP La Renaissance;;;https://etab.ac-reunion.fr/lyc-la-renaissance;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-christian-antou/vivre-au-lycee/
9740784J;Clg Le Bernica;;;https://etab.ac-reunion.fr/clg-le-bernica;Non;;https://etab.ac-reunion.fr/clg-le-bernica
9740787M;Lyc Antoine Roussin;;;https://etab.ac-reunion.fr/lyc-antoine-roussin;Oui;Mot-clé: podcast;https://etab.ac-reunion.fr/lyc-antoine-roussin/le-bts-am-assistant-manager/
9740811N;Clg Terre Sainte;;;https://etab.ac-reunion.fr/clg-terresainte;Non;;https://etab.ac-reunion.fr/clg-terresainte
9740812P;Clg L'Oasis;;;https://etab.ac-reunion.fr/clg-oasis;Non;;https://etab.ac-reunion.fr/clg-oasis
9740813R;Clg Simon Lucas;;;https://etab.ac-reunion.fr/clg-simon-lucas;Oui;Mot-clé: podcast;https://etab.ac-reunion.fr/clg-simon-lucas/
9740841W;Clg Plateau Goyaves;;;https://etab.ac-reunion.fr/clg-plateau-goyaves;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-plateau-goyaves/
9740909V;Clg Jean Albany;;;https://etab.ac-reunion.fr/clg-jean-albany;Non;;https://etab.ac-reunion.fr/clg-jean-albany
9740910W;LP Jean Perrin;;;https://etab.ac-reunion.fr/lyc-jean-perrin;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-jean-perrin/sentier-botanique/
9740921H;LP Isnelle Amelin;;;https://etab.ac-reunion.fr/lyc-isnelle-amelin;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/lyc-isnelle-amelin/
9740932V;Clg Les Aigrettes;;;https://etab.ac-reunion.fr/clg-les-aigrettes;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-les-aigrettes/essai/
9740934X;LP Paul Langevin;;;https://etab.ac-reunion.fr/lyc-paul-langevin;Oui;Balise <audio>;https://etab.ac-reunion.fr/lyc-paul-langevin/journee-nationale-contre-le-harcelement-2025/
9740952S;Lyc Pierre Poivre;;;https://etab.ac-reunion.fr/lyc-pierre-poivre;Oui;Player youtube.com;https://etab.ac-reunion.fr/lyc-pierre-poivre/infos-pratiques/
9740979W;Lyc Jean Hinglo;;;https://etab.ac-reunion.fr/lyc-jean-hinglo;Non;;https://etab.ac-reunion.fr/lyc-jean-hinglo
9741044S;Clg Les Mascareignes;;;https://etab.ac-reunion.fr/clg-les-mascareignes;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-les-mascareignes/acces/
9741045T;Clg Titan;;;https://etab.ac-reunion.fr/clg-titan;Oui;Player youtube.com;https://etab.ac-reunion.fr/clg-titan/2025/11/12/nouveau-brevet-ce-qui-change-a-partir-de-cette-annee/
9741046U;Lyc Bellepierre;;;https://etab.ac-reunion.fr/lyc-bellepierre;Oui;Mot-clé: podcast;https://etab.ac-reunion.fr/lyc-bellepierre/
9741047V;Clg La Marine;;;https://etab.ac-reunion.fr/clg-la-marine;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/clg-la-marine/?cat=5
9741048W;Clg Pointe des Châteaux;;;https://etab.ac-reunion.fr/clg-pointe-des-chateaux;Non;;https://etab.ac-reunion.fr/clg-pointe-des-chateaux
9741049X;Clg Henri Matisse;;;https://etab.ac-reunion.fr/clg-henri-matisse;Oui;Mot-clé: webradio;https://etab.ac-reunion.fr/clg-henri-matisse/anglais/
9741050Y;Lyc Louis Payen;;;https://etab.ac-reunion.fr/lyc-louis-payen;Non;;https://etab.ac-reunion.fr/lyc-louis-payen
